user,avg_data_before_upgrade,std_before,total_recharge_before,avg_data_after_upgrade,std_after,total_recharge_after,days_active_after,time_to_first_data_use,recharge_growth,increased_usage,user_segment,xgb_score,xgb_pred
225798765432,0.1306966145833333,0.4527463536711616,3091.482637303852,282355.6586914062,746850.0944820958,10600.0,14,0,7508.517362696148,1,high,0.032779474,0
225798765433,,,,390674.3695652162,760990.9747936244,15979.55,10,0,,0,high,0.027751368,0
225798765434,,,,77583.16015625,109719.15730473268,275.0,1,0,,0,low,0.027751368,0
225798765435,0.2613932291666667,0.4527463536711616,450.0,156755.77461299175,284752.8582369858,25581.48263730385,26,0,25131.48263730385,1,medium,0.032779474,0
225798765436,7.143985523897059,32.5799230397787,13800.0,42745.23473938896,113248.91136545688,32883.892637303856,23,0,19083.892637303856,1,low,0.88802075,1
225798765437,,,,335146.0564558696,444032.0009885761,68208.17,53,0,,0,high,0.027751368,0
225798765438,16.537679036458332,57.2882006608251,4365.0,95417.88342285152,226608.3507215392,21665.0,10,0,17300.0,1,medium,0.88802075,1
225798765439,0.0,0.0,300.0,166845.81538982742,380647.4582315911,14318.0,20,0,14018.0,0,medium,0.027751368,0
225798765440,,,,0.4990234375,0.7057257132545426,600.0,1,30,,0,low,0.027751368,0
225798765441,0.0,0.0,900.0,103312.8799072265,220188.86740223184,25413.65263730385,18,0,24513.65263730385,0,medium,0.032779474,0
225798765442,0.0,,125.0,158333.04530319915,364781.071252766,39151.08,42,0,39026.08,0,medium,0.027751368,0
225798765443,,,,32351.283142089786,67732.72469436956,5761.482637303851,11,0,,0,low,0.027751368,0
225798765444,0.0,,100.0,148634.0331902752,419757.3019540026,38305.31,26,4,38205.31,0,medium,0.027751368,0
225798765445,,,,181466.617980957,261231.6643203641,7200.0,8,0,,0,medium,0.027751368,0
225798765447,13.37919921875,42.30874280039536,1531.4826373038516,109611.20219726536,321109.5834483682,5050.0,9,0,3518.5173626961487,1,medium,0.88802075,1
225798765448,0.0,0.0,2700.0,228535.46408913285,558853.9199663741,27770.0,12,0,25070.0,0,medium,0.032779474,0
225798765449,37.404296875,91.62144153132938,3400.0,356576.20427911816,604541.4798266537,7700.0,5,0,4300.0,1,high,0.88802075,1
225798765450,0.0,0.0,250.0,128303.44512038917,345525.3860311364,18227.5,18,0,17977.5,0,medium,0.027751368,0
225798765451,0.0,0.0,7980.0,229621.74141533405,478915.082717923,30485.83263730385,20,0,22505.83263730385,0,high,0.032779474,0
225798765452,0.0,,100.0,245147.8138020829,527162.137252223,8620.0,15,0,8520.0,0,high,0.027751368,0
225798765453,8.322265625,,50.0,148021.37464991125,399013.9638538971,18579.67,28,0,18529.67,1,medium,0.869776,1
225798765454,,,,188839.3938337052,362666.8468292436,37202.10054921541,59,0,,0,medium,0.027751368,0
225798765455,,,,313834.387482766,521219.74273009895,81484.57791191155,109,0,,0,high,0.027751368,0
225798765456,0.9267578125,,100.0,77657.32092927616,280625.3748811216,11603.482637303852,18,0,11503.482637303852,1,low,0.869776,1
225798765457,,,,120969.686035156,171076.97062693283,700.0,1,0,,0,medium,0.027751368,0
